cod_provincia,provincia,anio,ejecuciones_hipotecarias_vivienda
01,Araba/Álava,2014,57
01,Araba/Álava,2015,51
01,Araba/Álava,2016,59
01,Araba/Álava,2017,44
01,Araba/Álava,2018,22
01,Araba/Álava,2019,8
01,Araba/Álava,2020,10
01,Araba/Álava,2021,41
01,Araba/Álava,2022,43
01,Araba/Álava,2023,28
01,Araba/Álava,2024,31
01,Araba/Álava,2025,29
02,Albacete,2014,314
02,Albacete,2015,262
02,Albacete,2016,148
02,Albacete,2017,117
02,Albacete,2018,90
02,Albacete,2019,152
02,Albacete,2020,146
02,Albacete,2021,302
02,Albacete,2022,97
02,Albacete,2023,97
02,Albacete,2024,56
02,Albacete,2025,80
03,Alicante/Alacant,2014,3771
03,Alicante/Alacant,2015,4266
03,Alicante/Alacant,2016,3783
03,Alicante/Alacant,2017,1868
03,Alicante/Alacant,2018,1664
03,Alicante/Alacant,2019,1705
03,Alicante/Alacant,2020,1313
03,Alicante/Alacant,2021,1686
03,Alicante/Alacant,2022,1443
03,Alicante/Alacant,2023,1056
03,Alicante/Alacant,2024,1037
03,Alicante/Alacant,2025,1001
04,Almería,2014,3014
04,Almería,2015,4142
04,Almería,2016,271
04,Almería,2017,1491
04,Almería,2018,1057
04,Almería,2019,2026
04,Almería,2020,936
04,Almería,2021,758
04,Almería,2022,960
04,Almería,2023,491
04,Almería,2024,463
04,Almería,2025,478
05,Ávila,2014,160
05,Ávila,2015,177
05,Ávila,2016,130
05,Ávila,2017,143
05,Ávila,2018,131
05,Ávila,2019,46
05,Ávila,2020,19
05,Ávila,2021,27
05,Ávila,2022,36
05,Ávila,2023,54
05,Ávila,2024,46
05,Ávila,2025,35
06,Badajoz,2014,1014
06,Badajoz,2015,593
06,Badajoz,2016,342
06,Badajoz,2017,200
06,Badajoz,2018,290
06,Badajoz,2019,197
06,Badajoz,2020,121
06,Badajoz,2021,193
06,Badajoz,2022,166
06,Badajoz,2023,100
06,Badajoz,2024,118
06,Badajoz,2025,158
07,"Balears, Illes",2014,1941
07,"Balears, Illes",2015,1328
07,"Balears, Illes",2016,753
07,"Balears, Illes",2017,514
07,"Balears, Illes",2018,395
07,"Balears, Illes",2019,411
07,"Balears, Illes",2020,371
07,"Balears, Illes",2021,224
07,"Balears, Illes",2022,323
07,"Balears, Illes",2023,169
07,"Balears, Illes",2024,185
07,"Balears, Illes",2025,167
08,Barcelona,2014,9026
08,Barcelona,2015,6507
08,Barcelona,2016,3819
08,Barcelona,2017,2224
08,Barcelona,2018,2217
08,Barcelona,2019,2859
08,Barcelona,2020,2082
08,Barcelona,2021,237
08,Barcelona,2022,1926
08,Barcelona,2023,1656
08,Barcelona,2024,1668
08,Barcelona,2025,1968
09,Burgos,2014,502
09,Burgos,2015,293
09,Burgos,2016,140
09,Burgos,2017,79
09,Burgos,2018,107
09,Burgos,2019,157
09,Burgos,2020,89
09,Burgos,2021,76
09,Burgos,2022,54
09,Burgos,2023,34
09,Burgos,2024,53
09,Burgos,2025,46
10,Cáceres,2014,349
10,Cáceres,2015,235
10,Cáceres,2016,179
10,Cáceres,2017,112
10,Cáceres,2018,177
10,Cáceres,2019,215
10,Cáceres,2020,37
10,Cáceres,2021,52
10,Cáceres,2022,49
10,Cáceres,2023,53
10,Cáceres,2024,57
10,Cáceres,2025,97
11,Cádiz,2014,2095
11,Cádiz,2015,1966
11,Cádiz,2016,149
11,Cádiz,2017,937
11,Cádiz,2018,534
11,Cádiz,2019,454
11,Cádiz,2020,366
11,Cádiz,2021,564
11,Cádiz,2022,489
11,Cádiz,2023,673
11,Cádiz,2024,429
11,Cádiz,2025,562
12,Castellón/Castelló,2014,2121
12,Castellón/Castelló,2015,1977
12,Castellón/Castelló,2016,202
12,Castellón/Castelló,2017,1152
12,Castellón/Castelló,2018,163
12,Castellón/Castelló,2019,1266
12,Castellón/Castelló,2020,733
12,Castellón/Castelló,2021,845
12,Castellón/Castelló,2022,447
12,Castellón/Castelló,2023,286
12,Castellón/Castelló,2024,268
12,Castellón/Castelló,2025,341
13,Ciudad Real,2014,608
13,Ciudad Real,2015,326
13,Ciudad Real,2016,243
13,Ciudad Real,2017,152
13,Ciudad Real,2018,413
13,Ciudad Real,2019,236
13,Ciudad Real,2020,197
13,Ciudad Real,2021,101
13,Ciudad Real,2022,124
13,Ciudad Real,2023,93
13,Ciudad Real,2024,80
13,Ciudad Real,2025,95
14,Córdoba,2014,867
14,Córdoba,2015,799
14,Córdoba,2016,739
14,Córdoba,2017,360
14,Córdoba,2018,200
14,Córdoba,2019,193
14,Córdoba,2020,170
14,Córdoba,2021,276
14,Córdoba,2022,312
14,Córdoba,2023,251
14,Córdoba,2024,201
14,Córdoba,2025,353
15,"Coruña, A",2014,746
15,"Coruña, A",2015,503
15,"Coruña, A",2016,232
15,"Coruña, A",2017,305
15,"Coruña, A",2018,487
15,"Coruña, A",2019,645
15,"Coruña, A",2020,325
15,"Coruña, A",2021,348
15,"Coruña, A",2022,187
15,"Coruña, A",2023,132
15,"Coruña, A",2024,178
15,"Coruña, A",2025,305
16,Cuenca,2014,136
16,Cuenca,2015,59
16,Cuenca,2016,32
16,Cuenca,2017,29
16,Cuenca,2018,16
16,Cuenca,2019,10
16,Cuenca,2020,40
16,Cuenca,2021,31
16,Cuenca,2022,32
16,Cuenca,2023,18
16,Cuenca,2024,20
16,Cuenca,2025,24
17,Girona,2014,2107
17,Girona,2015,1876
17,Girona,2016,1133
17,Girona,2017,1071
17,Girona,2018,859
17,Girona,2019,922
17,Girona,2020,701
17,Girona,2021,457
17,Girona,2022,496
17,Girona,2023,303
17,Girona,2024,442
17,Girona,2025,407
18,Granada,2014,1655
18,Granada,2015,1562
18,Granada,2016,1207
18,Granada,2017,1052
18,Granada,2018,903
18,Granada,2019,906
18,Granada,2020,404
18,Granada,2021,491
18,Granada,2022,439
18,Granada,2023,288
18,Granada,2024,329
18,Granada,2025,416
19,Guadalajara,2014,583
19,Guadalajara,2015,336
19,Guadalajara,2016,208
19,Guadalajara,2017,153
19,Guadalajara,2018,126
19,Guadalajara,2019,336
19,Guadalajara,2020,125
19,Guadalajara,2021,167
19,Guadalajara,2022,103
19,Guadalajara,2023,41
19,Guadalajara,2024,79
19,Guadalajara,2025,78
20,Gipuzkoa,2014,86
20,Gipuzkoa,2015,83
20,Gipuzkoa,2016,95
20,Gipuzkoa,2017,77
