anio,tasa_actividad_nacional,tasa_paro_nacional,tasa_empleo_nacional,trimestres_disponibles
2002,54.6025,11.45,48.35,4
2003,55.832499999999996,11.485,49.42,4
2004,56.71,10.965,50.4925,4
2005,57.795,9.1525,52.505,4
2006,58.6375,8.4525,53.6775,4
2007,59.275,8.2325,54.394999999999996,4
2008,60.08,11.245,53.3225,4
2009,60.1825,17.855,49.435,4
2010,60.28,19.8575,48.31,4
2011,60.332499999999996,21.39,47.427499999999995,4
2012,60.3975,24.7875,45.4275,4
2013,60.019999999999996,26.095,44.3575,4
2014,59.597500000000004,24.4425,45.035,4
2015,59.542500000000004,22.0575,46.41,4
2016,59.2325,19.634999999999998,47.6025,4
2017,58.835,17.225,48.7,4
2018,58.65,15.254999999999999,49.7,4
2019,58.6375,14.105,50.3675,4
2020,57.435,15.5325,48.5175,4
2021,58.38,14.92,49.675,4
2022,58.53,13.035,50.9,4
2023,58.8525,12.185,51.685,4
2024,58.765,11.344999999999999,52.095,4
2025,58.96,10.5075,52.7675,4
2026,58.86,10.83,52.48,1
