cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
01,Araba/Álava,2002,59.5225,9.025,54.1475,4
01,Araba/Álava,2003,60.74,9.344999999999999,55.06,4
01,Araba/Álava,2004,62.295,9.3825,56.4525,4
01,Araba/Álava,2005,59.655,7.1575,55.3875,4
01,Araba/Álava,2006,60.7925,7.29,56.355000000000004,4
01,Araba/Álava,2007,59.739999999999995,5.4399999999999995,56.4925,4
01,Araba/Álava,2008,61.625,4.985,58.5425,4
01,Araba/Álava,2009,61.332499999999996,11.7425,54.129999999999995,4
01,Araba/Álava,2010,61.2475,11.34,54.3,4
01,Araba/Álava,2011,61.755,10.75,55.1125,4
01,Araba/Álava,2012,61.0575,16.572499999999998,50.93,4
01,Araba/Álava,2013,61.5775,17.5125,50.79,4
01,Araba/Álava,2014,60.865,17.197499999999998,50.39,4
01,Araba/Álava,2015,59.6075,15.0125,50.6325,4
01,Araba/Álava,2016,58.4325,11.9875,51.43,4
01,Araba/Álava,2017,57.1575,11.2675,50.72,4
01,Araba/Álava,2018,57.790000000000006,9.112499999999999,52.525,4
01,Araba/Álava,2019,57.8375,8.28,53.055,4
01,Araba/Álava,2020,54.81,7.8575,50.5025,4
01,Araba/Álava,2021,57.2575,11.365,50.754999999999995,4
01,Araba/Álava,2022,57.462500000000006,9.19,52.1925,4
01,Araba/Álava,2023,57.7675,7.2025,53.605000000000004,4
01,Araba/Álava,2024,56.6025,8.5675,51.755,4
01,Araba/Álava,2025,56.6925,7.1975,52.6075,4
01,Araba/Álava,2026,57.21,8.88,52.14,1
02,Albacete,2002,50.935,6.935,47.394999999999996,4
02,Albacete,2003,51.7825,7.7,47.795,4
02,Albacete,2004,53.807500000000005,9.005,48.955,4
02,Albacete,2005,55.6525,9.84,50.17,4
02,Albacete,2006,55.4475,10.015,49.8875,4
02,Albacete,2007,58.605,9.1625,53.2325,4
02,Albacete,2008,58.825,12.1975,51.6475,4
02,Albacete,2009,58.7025,19.77,47.1075,4
02,Albacete,2010,58.7425,22.665,45.435,4
02,Albacete,2011,59.36,24.715,44.685,4
02,Albacete,2012,57.195,31.9175,38.95,4
02,Albacete,2013,58.302499999999995,30.9875,40.2375,4
02,Albacete,2014,57.155,27.517500000000002,41.4275,4
02,Albacete,2015,57.7975,24.6825,43.54,4
02,Albacete,2016,55.795,23.8275,42.4975,4
02,Albacete,2017,58.4825,23.155,44.9425,4
02,Albacete,2018,59.4775,19.7325,47.74,4
02,Albacete,2019,56.230000000000004,17.185000000000002,46.5625,4
02,Albacete,2020,56.3775,18.2625,46.08,4
02,Albacete,2021,57.052499999999995,15.5275,48.165,4
02,Albacete,2022,57.6025,12.8475,50.2,4
02,Albacete,2023,58.505,11.9575,51.4975,4
02,Albacete,2024,56.565,11.315,50.17,4
02,Albacete,2025,59.79,11.3125,53.03,4
02,Albacete,2026,61.06,11.35,54.13,1
03,Alicante/Alacant,2002,55.067499999999995,10.685,49.1825,4
03,Alicante/Alacant,2003,56.0975,12.3375,49.182500000000005,4
03,Alicante/Alacant,2004,58.0025,10.615,51.8425,4
03,Alicante/Alacant,2005,57.4725,9.625,51.94,4
03,Alicante/Alacant,2006,58.027499999999996,9.6225,52.445,4
03,Alicante/Alacant,2007,57.7225,10.502500000000001,51.665,4
03,Alicante/Alacant,2008,59.055,13.4875,51.0775,4
03,Alicante/Alacant,2009,60.0225,21.9625,46.845,4
03,Alicante/Alacant,2010,58.4825,24.16,44.3525,4
03,Alicante/Alacant,2011,57.6975,23.9075,43.8975,4
03,Alicante/Alacant,2012,58.072500000000005,28.025,41.795,4
03,Alicante/Alacant,2013,58.230000000000004,28.255,41.775,4
03,Alicante/Alacant,2014,57.41,26.03,42.464999999999996,4
03,Alicante/Alacant,2015,58.1275,24.22,44.055,4
03,Alicante/Alacant,2016,59.197500000000005,20.795,46.89,4
03,Alicante/Alacant,2017,58.605000000000004,18.1075,47.9925,4
03,Alicante/Alacant,2018,57.4625,16.1675,48.1725,4
03,Alicante/Alacant,2019,58.135,14.85,49.505,4
03,Alicante/Alacant,2020,56.255,18.0275,46.11,4
03,Alicante/Alacant,2021,56.585,18.705,46,4
03,Alicante/Alacant,2022,58.205,14.645,49.675000000000004,4
03,Alicante/Alacant,2023,58.3175,13.3925,50.515,4
03,Alicante/Alacant,2024,56.985,13.64,49.2175,4
03,Alicante/Alacant,2025,57.57,12.5075,50.3775,4
03,Alicante/Alacant,2026,57.82,12.87,50.38,1
04,Almería,2002,57.5775,10.7825,51.375,4
04,Almería,2003,59.8325,11.295,53.0525,4
04,Almería,2004,61.53,9.7925,55.475,4
04,Almería,2005,63.325,9.2,57.5075,4
04,Almería,2006,64.57,9.265,58.59,4
04,Almería,2007,61.4925,11.445,54.455,4
04,Almería,2008,61.735,19.3925,49.735,4
04,Almería,2009,64.28,26.572499999999998,47.1975,4
04,Almería,2010,64.33749999999999,28.0125,46.315,4
04,Almería,2011,64.505,33.505,42.8975,4
04,Almería,2012,64.2025,35.315,41.527499999999996,4
04,Almería,2013,63.9875,36.055,40.93,4
04,Almería,2014,63.5875,35.597500000000004,40.965,4
04,Almería,2015,60.52,28.99,42.9525,4
04,Almería,2016,60.0575,23.5825,45.8925,4
04,Almería,2017,61.3975,24.37,46.4325,4
04,Almería,2018,59.53,22.5775,46.0875,4
04,Almería,2019,59.1025,17.615000000000002,48.695,4
04,Almería,2020,58.76,21.905,45.8675,4
04,Almería,2021,61.765,19.255000000000003,49.89,4
04,Almería,2022,61.8825,17.15,51.2825,4
04,Almería,2023,61.69,15.9725,51.83,4
04,Almería,2024,60.265,15.285,51.0525,4
04,Almería,2025,59.66,13.8625,51.3925,4
04,Almería,2026,60.66,16.55,50.62,1
05,Ávila,2002,45.35,8.9775,41.2725,4
05,Ávila,2003,45.125,8.9425,41.09,4
05,Ávila,2004,46.870000000000005,9.5075,42.42,4
05,Ávila,2005,48.2125,8.59,44.0675,4
05,Ávila,2006,49.3825,6.842499999999999,46.015,4
05,Ávila,2007,51.7375,6.9399999999999995,48.1525,4
05,Ávila,2008,52.957499999999996,11.275,46.99,4
05,Ávila,2009,52.4675,19.02,42.4975,4
05,Ávila,2010,51.815,23.3175,39.739999999999995,4
05,Ávila,2011,53.2,23.810000000000002,40.555,4
05,Ávila,2012,54.8875,24.58,41.3925,4
05,Ávila,2013,54.95,25.525,40.932500000000005,4
05,Ávila,2014,53.769999999999996,26.0425,39.754999999999995,4
05,Ávila,2015,53.614999999999995,22.985,41.3,4
05,Ávila,2016,55.91,21.2325,44.05,4
05,Ávila,2017,55.585,17.965,45.5925,4
05,Ávila,2018,53.260000000000005,16.4225,44.51,4
05,Ávila,2019,52.775,14.7025,45.04,4
05,Ávila,2020,54.36,14.43,46.4975,4
05,Ávila,2021,52.325,15.49,44.2,4
05,Ávila,2022,52.965,13.935,45.6025,4
05,Ávila,2023,52.655,11.635,46.519999999999996,4
05,Ávila,2024,52.6975,11.1425,46.8375,4
05,Ávila,2025,50.795,8.879999999999999,46.2825,4
05,Ávila,2026,49.68,8.58,45.42,1
06,Badajoz,2002,49.955,19.555,40.185,4
06,Badajoz,2003,50.224999999999994,16.36,42.0125,4
06,Badajoz,2004,51.085,18.09,41.83,4
06,Badajoz,2005,52.035,17.43,42.9625,4
06,Badajoz,2006,51.8875,14.625,44.29,4
06,Badajoz,2007,53.61,14.0375,46.082499999999996,4
06,Badajoz,2008,54.665,15.8275,46,4
06,Badajoz,2009,55.614999999999995,21.330000000000002,43.7525,4
06,Badajoz,2010,56.2625,23.955000000000002,42.785,4
06,Badajoz,2011,55.8375,27.085,40.7175,4
06,Badajoz,2012,56.495000000000005,33.8025,37.3975,4
06,Badajoz,2013,56.6325,34.394999999999996,37.1425,4
06,Badajoz,2014,55.18,31.27,37.9275,4
