anio,numero_hipotecas_vivienda_nacional,importe_total_hipotecas_vivienda_nacional_miles_eur,meses_disponibles,importe_medio_hipoteca_nacional_eur
2003,989439,96175561,12,97202.11251022044
2004,1107664,122147451,12,110274.82250935302
2005,1257613,156946440,12,124797.08781636322
2006,1342171,188339112,12,140324.22992301278
2007,1238890,184427159,12,148864.83787906918
2008,836419,116809939,12,139654.81295857698
2009,650889,76677074,12,117803.61013936324
2010,607535,71041231,12,116933.56102940571
2011,408461,45715937,12,111922.40385250979
2012,273873,28328881,12,103438.02054236818
2013,199703,19972573,12,100011.38190212466
2014,204302,20890540,12,102253.23295905082
2015,246767,26338940,12,106736.07086847107
2016,282707,31036970,12,109784.93634752589
2017,312843,36664867,12,117198.93684691683
2018,348326,43284882,12,124265.43525318237
2019,361291,45383450,12,125614.67072249239
2020,337752,45508122,12,134738.27542101897
2021,418058,57492599,12,137523.02072918112
2022,464107,67255564,12,144913.918557574
2023,380966,54031260,12,141826.98718520813
2024,425522,61854101,12,145360.52425021504
2025,501013,82015837,12,163700.01776401012
2026,84893,14560364,2,171514.3062443311
