cod_provincia,provincia,anio,numero_hipotecas_vivienda,importe_total_hipotecas_vivienda_miles_eur,meses_disponibles,importe_medio_hipoteca_eur
01,Araba/Álava,2003,4604,530840,12,115299.7393570808
01,Araba/Álava,2004,4704,587409,12,124874.36224489796
01,Araba/Álava,2005,5970,750549,12,125720.10050251256
01,Araba/Álava,2006,6557,961966,12,146708.25072441666
01,Araba/Álava,2007,7486,1011792,12,135157.8947368421
01,Araba/Álava,2008,5789,846181,12,146170.49576783556
01,Araba/Álava,2009,6113,751942,12,123007.03418943235
01,Araba/Álava,2010,7743,874731,12,112970.55404881829
01,Araba/Álava,2011,5864,675078,12,115122.44201909959
01,Araba/Álava,2012,4825,587128,12,121684.55958549223
01,Araba/Álava,2013,3293,347617,12,105562.40510173094
01,Araba/Álava,2014,1596,171177,12,107253.75939849624
01,Araba/Álava,2015,2039,196443,12,96342.81510544385
01,Araba/Álava,2016,1836,200673,12,109299.01960784313
01,Araba/Álava,2017,2915,304693,12,104525.90051457976
01,Araba/Álava,2018,2645,314012,12,118719.09262759924
01,Araba/Álava,2019,2974,371183,12,124809.3476798924
01,Araba/Álava,2020,3284,393562,12,119842.26552984165
01,Araba/Álava,2021,3309,451468,12,136436.3856149894
01,Araba/Álava,2022,3907,538703,12,137881.49475300743
01,Araba/Álava,2023,2799,403152,12,144034.2979635584
01,Araba/Álava,2024,3278,465123,12,141892.31238560096
01,Araba/Álava,2025,4262,634579,12,148892.30408259033
01,Araba/Álava,2026,769,111697,2,145249.67490247075
02,Albacete,2003,5875,439067,12,74734.8085106383
02,Albacete,2004,6771,575071,12,84931.47245606262
02,Albacete,2005,8059,749522,12,93004.34297059188
02,Albacete,2006,9533,1052733,12,110430.39966432392
02,Albacete,2007,9700,1205726,12,124301.64948453609
02,Albacete,2008,6637,801400,12,120747.32559891517
02,Albacete,2009,4234,448756,12,105988.66320264526
02,Albacete,2010,4836,536088,12,110853.59801488834
02,Albacete,2011,2534,240669,12,94975.92738752959
02,Albacete,2012,1727,144432,12,83631.73132599884
02,Albacete,2013,1241,102375,12,82493.95648670426
02,Albacete,2014,1226,95806,12,78145.18760195759
02,Albacete,2015,1483,120533,12,81276.46662171274
02,Albacete,2016,1924,172070,12,89433.47193347193
02,Albacete,2017,2252,204848,12,90962.6998223801
02,Albacete,2018,2185,188309,12,86182.60869565218
02,Albacete,2019,2705,261687,12,96741.95933456562
02,Albacete,2020,2227,202959,12,91135.60844185002
02,Albacete,2021,2624,258576,12,98542.68292682926
02,Albacete,2022,2943,304569,12,103489.29663608562
02,Albacete,2023,2363,238538,12,100947.10114261531
02,Albacete,2024,2391,235514,12,98500.20911752405
02,Albacete,2025,3241,355197,12,109594.8781240358
02,Albacete,2026,501,56724,2,113221.55688622754
03,Alicante/Alacant,2003,57615,4683926,12,81296.98863143279
03,Alicante/Alacant,2004,64692,5975669,12,92371.06597415445
03,Alicante/Alacant,2005,74219,7977506,12,107486.03457335723
03,Alicante/Alacant,2006,80664,9513932,12,117945.20480015868
03,Alicante/Alacant,2007,71590,8997698,12,125683.7267774829
03,Alicante/Alacant,2008,40612,4786101,12,117849.42874027381
03,Alicante/Alacant,2009,33501,3139828,12,93723.41124145548
03,Alicante/Alacant,2010,26919,2452213,12,91095.99167873993
03,Alicante/Alacant,2011,16584,1434698,12,86510.97443318862
03,Alicante/Alacant,2012,11143,912857,12,81922.01382033563
03,Alicante/Alacant,2013,8232,644698,12,78316.08357628765
03,Alicante/Alacant,2014,8747,687072,12,78549.44552417973
03,Alicante/Alacant,2015,10284,843255,12,81996.79113185531
03,Alicante/Alacant,2016,11908,999877,12,83966.82902250587
03,Alicante/Alacant,2017,13175,1141220,12,86620.11385199241
03,Alicante/Alacant,2018,15122,1411820,12,93361.98915487369
03,Alicante/Alacant,2019,16348,1575254,12,96357.59725960362
03,Alicante/Alacant,2020,14046,1387080,12,98752.6697992311
03,Alicante/Alacant,2021,17810,1826238,12,102540.0336889388
03,Alicante/Alacant,2022,19582,2071125,12,105766.77561025432
03,Alicante/Alacant,2023,16789,1813394,12,108010.84043123474
03,Alicante/Alacant,2024,19241,2184257,12,113520.97084351126
03,Alicante/Alacant,2025,23767,3073226,12,129306.43328985569
03,Alicante/Alacant,2026,4110,551077,2,134081.99513381996
04,Almería,2003,21162,1734883,12,81981.0509403648
04,Almería,2004,27401,2580119,12,94161.49045655268
04,Almería,2005,32886,3684574,12,112040.80763850879
04,Almería,2006,37759,4800431,12,127133.42514367435
04,Almería,2007,35419,4852699,12,137008.35709647366
04,Almería,2008,17769,2260911,12,127239.06803984467
04,Almería,2009,12889,1202496,12,93296.29916983475
04,Almería,2010,11797,999030,12,84685.08942951598
04,Almería,2011,8040,656336,12,81633.83084577114
04,Almería,2012,5617,410484,12,73078.86772298379
04,Almería,2013,4061,302782,12,74558.48313223344
04,Almería,2014,3571,261364,12,73190.70288434612
04,Almería,2015,3838,304456,12,79326.73267326732
04,Almería,2016,4286,349418,12,81525.43163789081
04,Almería,2017,4906,389458,12,79384.01956787606
04,Almería,2018,5365,434175,12,80927.3066169618
04,Almería,2019,6062,533895,12,88072.41834378093
04,Almería,2020,5930,827805,12,139596.12141652615
04,Almería,2021,8049,722584,12,89773.13952043733
04,Almería,2022,8844,831128,12,93976.48123021258
04,Almería,2023,7092,669250,12,94366.89227298365
04,Almería,2024,7531,714784,12,94912.22945160005
04,Almería,2025,9529,1063563,12,111613.2857592612
04,Almería,2026,1499,173570,2,115790.52701801201
05,Ávila,2003,1935,138341,12,71494.05684754522
05,Ávila,2004,2022,160813,12,79531.6518298714
05,Ávila,2005,3261,309523,12,94916.59000306655
05,Ávila,2006,3799,414358,12,109070.2816530666
05,Ávila,2007,3924,452346,12,115276.75840978594
05,Ávila,2008,4249,528057,12,124277.94775241234
05,Ávila,2009,2822,305786,12,108357.90219702339
05,Ávila,2010,2361,270574,12,114601.4400677679
05,Ávila,2011,1681,154717,12,92038.66745984532
05,Ávila,2012,1033,106250,12,102855.75992255566
05,Ávila,2013,715,58443,12,81738.46153846153
05,Ávila,2014,433,31572,12,72914.54965357967
05,Ávila,2015,508,40578,12,79877.95275590551
05,Ávila,2016,550,40710,12,74018.18181818182
05,Ávila,2017,579,46113,12,79642.48704663213
05,Ávila,2018,647,52986,12,81894.89953632148
05,Ávila,2019,703,55359,12,78746.79943100996
05,Ávila,2020,708,52767,12,74529.66101694915
05,Ávila,2021,908,72902,12,80288.5462555066
05,Ávila,2022,930,81345,12,87467.74193548386
05,Ávila,2023,805,67640,12,84024.8447204969
05,Ávila,2024,932,84728,12,90909.8712446352
05,Ávila,2025,1240,120963,12,97550.80645161291
05,Ávila,2026,243,27161,2,111773.66255144033
06,Badajoz,2003,9454,573698,12,60683.09710175587
06,Badajoz,2004,9126,611398,12,66995.17861056322
06,Badajoz,2005,12207,949695,12,77799.21356598673
06,Badajoz,2006,14149,1283107,12,90685.3487879002
06,Badajoz,2007,16010,1428629,12,89233.54153653966
06,Badajoz,2008,11755,1132184,12,96315.0999574649
06,Badajoz,2009,8517,758923,12,89106.84513326289
06,Badajoz,2010,8085,748399,12,92566.35745207174
06,Badajoz,2011,5164,425578,12,82412.4709527498
06,Badajoz,2012,3127,228794,12,73167.25295810681
06,Badajoz,2013,2143,160777,12,75024.26504899673
06,Badajoz,2014,2358,162337,12,68845.20780322306
06,Badajoz,2015,2765,190857,12,69026.0397830018
06,Badajoz,2016,3284,238494,12,72623.02070645554
06,Badajoz,2017,3334,244046,12,73199.1601679664
06,Badajoz,2018,3554,281538,12,79217.22003376477
06,Badajoz,2019,3792,297937,12,78569.88396624473
06,Badajoz,2020,3871,318214,12,82204.5982950142
06,Badajoz,2021,5027,421524,12,83851.9992042968
06,Badajoz,2022,5142,445439,12,86627.57681835862
06,Badajoz,2023,4260,373395,12,87651.40845070423
06,Badajoz,2024,4562,402605,12,88251.86321788689
06,Badajoz,2025,6040,571468,12,94613.90728476821
06,Badajoz,2026,990,105554,2,106620.20202020202
07,"Balears, Illes",2003,24916,2660869,12,106793.5864504736
07,"Balears, Illes",2004,29884,3649781,12,122131.6088876991
07,"Balears, Illes",2005,36554,5076381,12,138873.47485911255
07,"Balears, Illes",2006,38093,5987999,12,157194.20890977344
07,"Balears, Illes",2007,35025,6083362,12,173686.2812276945
07,"Balears, Illes",2008,20969,3437428,12,163929.0381038676
07,"Balears, Illes",2009,18249,2384814,12,130681.90037810292
07,"Balears, Illes",2010,17318,2059224,12,118906.57119759788
07,"Balears, Illes",2011,12554,1415916,12,112786.04428867293
07,"Balears, Illes",2012,9037,975209,12,107912.91357751466
07,"Balears, Illes",2013,5939,697895,12,117510.52365718134
07,"Balears, Illes",2014,5871,689008,12,117357.86067109522
07,"Balears, Illes",2015,8334,976793,12,117205.78353731701
07,"Balears, Illes",2016,9418,1305194,12,138585.04990443832
07,"Balears, Illes",2017,10128,1610125,12,158977.5868878357
07,"Balears, Illes",2018,10434,1802385,12,172741.51811385853
07,"Balears, Illes",2019,10032,1724314,12,171881.37958532694
07,"Balears, Illes",2020,9463,1587519,12,167760.646729367
07,"Balears, Illes",2021,9222,1909554,12,207065.06180871828
07,"Balears, Illes",2022,11447,2692544,12,235218.3104743601
07,"Balears, Illes",2023,8958,2185386,12,243959.1426657736
07,"Balears, Illes",2024,10045,2450140,12,243916.37630662022
07,"Balears, Illes",2025,11329,3204440,12,282852.8555035749
07,"Balears, Illes",2026,1884,573468,2,304388.53503184713
08,Barcelona,2003,138065,16354611,12,118455.87947705791
08,Barcelona,2004,148503,19718727,12,132783.3579119614
08,Barcelona,2005,157650,24239983,12,153758.2175705677
08,Barcelona,2006,164464,29586044,12,179893.73966339137
08,Barcelona,2007,126288,24663121,12,195292.67230457367
08,Barcelona,2008,81783,14304941,12,174913.3805314063
08,Barcelona,2009,62189,8367877,12,134555.5805689109
08,Barcelona,2010,65071,8926539,12,137181.52479599207
08,Barcelona,2011,43849,5754799,12,131241.28258341126
08,Barcelona,2012,28868,3297612,12,114230.70527920188
08,Barcelona,2013,20368,2406668,12,118159.26944226238
08,Barcelona,2014,21956,2687495,12,122403.67097832028
08,Barcelona,2015,28040,3655539,12,130368.72325249643
08,Barcelona,2016,33170,4546281,12,137060.02411817908
08,Barcelona,2017,38311,5797229,12,151320.2213463496
08,Barcelona,2018,44391,6940355,12,156345.9935572526
08,Barcelona,2019,44029,7190580,12,163314.63353698698
08,Barcelona,2020,41221,8358244,12,202766.64806773246
08,Barcelona,2021,51855,9116646,12,175810.35579982644
08,Barcelona,2022,59044,10926286,12,185053.2822979473
08,Barcelona,2023,47692,8301066,12,174055.73261762978
08,Barcelona,2024,54109,9630635,12,177985.82490898002
08,Barcelona,2025,63734,12588301,12,197513.1170176044
08,Barcelona,2026,11474,2330695,2,203128.3772006275
09,Burgos,2003,7769,742046,12,95513.70832797013
09,Burgos,2004,7723,807503,12,104558.20277094393
09,Burgos,2005,7340,864140,12,117730.24523160762
09,Burgos,2006,8179,1061322,12,129761.82907445898
09,Burgos,2007,8572,1176737,12,137276.8315445637
09,Burgos,2008,7493,978175,12,130545.17549713065
09,Burgos,2009,6543,757141,12,115717.71358703959
09,Burgos,2010,5288,620849,12,117407.1482602118
09,Burgos,2011,3490,378676,12,108503.15186246419
09,Burgos,2012,2471,246236,12,99650.34399028734
09,Burgos,2013,1591,154233,12,96940.9176618479
09,Burgos,2014,1796,162743,12,90614.1425389755
09,Burgos,2015,1895,168067,12,88689.70976253298
09,Burgos,2016,2050,192000,12,93658.53658536586
09,Burgos,2017,2313,210510,12,91011.67315175098
09,Burgos,2018,2403,233879,12,97327.92342904702
09,Burgos,2019,2636,251733,12,95498.10318664643
09,Burgos,2020,2242,237835,12,106081.62355040143
09,Burgos,2021,2982,307025,12,102959.42320590207
09,Burgos,2022,3374,360428,12,106825.13337285121
09,Burgos,2023,2728,283562,12,103945.0146627566
09,Burgos,2024,2930,313847,12,107115.01706484641
09,Burgos,2025,3687,415668,12,112738.81204231082
09,Burgos,2026,481,53828,2,111908.52390852392
10,Cáceres,2003,5541,363167,12,65541.77946219094
10,Cáceres,2004,6089,438657,12,72040.89341435375
10,Cáceres,2005,6205,495588,12,79869.13779210314
10,Cáceres,2006,5980,523928,12,87613.37792642141
10,Cáceres,2007,7020,671262,12,95621.36752136752
10,Cáceres,2008,6101,626220,12,102642.18980495
10,Cáceres,2009,5003,524229,12,104782.93024185489
10,Cáceres,2010,4654,404014,12,86810.0558659218
10,Cáceres,2011,3002,238794,12,79544.97001998668
10,Cáceres,2012,1751,133855,12,76444.88863506568
10,Cáceres,2013,1111,78526,12,70680.46804680469
10,Cáceres,2014,1353,95209,12,70368.81005173689
10,Cáceres,2015,1351,97798,12,72389.34122871947
10,Cáceres,2016,1498,113497,12,75765.6875834446
10,Cáceres,2017,1606,120328,12,74924.03486924035
10,Cáceres,2018,1810,142465,12,78709.94475138122
10,Cáceres,2019,1771,139281,12,78645.39808018069
10,Cáceres,2020,2078,166632,12,80188.64292589028
10,Cáceres,2021,2404,202692,12,84314.4758735441
10,Cáceres,2022,2531,238090,12,94069.5377321217
10,Cáceres,2023,1996,173606,12,86976.95390781564
10,Cáceres,2024,2518,236866,12,94069.10246227165
10,Cáceres,2025,2909,263131,12,90454.10794087315
10,Cáceres,2026,466,46306,2,99369.09871244636
11,Cádiz,2003,26124,1968883,12,75366.82743837085
11,Cádiz,2004,28319,2451343,12,86561.77831138106
11,Cádiz,2005,35865,3845668,12,107226.20939634742
11,Cádiz,2006,39605,4751561,12,119973.76593864411
11,Cádiz,2007,35634,4925448,12,138223.26991075938
11,Cádiz,2008,21919,2863159,12,130624.52666636252
11,Cádiz,2009,18144,2015201,12,111067.07451499118
11,Cádiz,2010,15510,1619638,12,104425.4029658285
11,Cádiz,2011,12086,1144371,12,94685.66936951845
11,Cádiz,2012,7911,715654,12,90463.15257236759
11,Cádiz,2013,5465,435117,12,79618.8472095151
11,Cádiz,2014,5316,452403,12,85102.14446952596
11,Cádiz,2015,6450,549041,12,85122.63565891473
11,Cádiz,2016,7958,694153,12,87227.06710228701
11,Cádiz,2017,8527,805682,12,94485.98569250616
11,Cádiz,2018,9167,887241,12,96786.40776699029
11,Cádiz,2019,9741,946578,12,97174.62272867262
11,Cádiz,2020,9208,932834,12,101306.90703735882
11,Cádiz,2021,12683,1354457,12,106793.10888591027
11,Cádiz,2022,13333,1526126,12,114462.31155778894
11,Cádiz,2023,11241,1290288,12,114784.09394182012
11,Cádiz,2024,12047,1454794,12,120759.85722586536
11,Cádiz,2025,13896,1940604,12,139651.98618307427
11,Cádiz,2026,2389,401883,2,168222.2687316869
12,Castellón/Castelló,2003,16646,1446020,12,86868.91745764748
12,Castellón/Castelló,2004,17667,1773299,12,100373.52125431596
