anio,precio_vivienda_libre_nacional_eur_m2,trimestres_disponibles
1995,683.025,4
1996,692.3,4
1997,711.65,4
1998,752.95,4
1999,810.65,4
2000,880.225,4
2001,967,4
2002,1119.1,4
2003,1316.275,4
2004,1545.95,4
2005,1761,4
2006,1944.275,4
2007,2056.35,4
2008,2071.075,4
2009,1917.025,4
2010,1843.025,4
2011,1740.1999999999998,4
2012,1588.125,4
2013,1495.35,4
2014,1459.4,4
2015,1475.2,4
2016,1502.625,4
2017,1538.625,4
2018,1590.7,4
2019,1641.2,4
2020,1623.1,4
2021,1657.575,4
2022,1740.975,4
2023,1809.075,4
2024,1913.625,4
2025,2127.575,4
