cod_provincia,provincia,anio,precio_vivienda_libre_eur_m2,trimestres_disponibles
01,Araba/Álava,1995,860.8,4
01,Araba/Álava,1996,923.725,4
01,Araba/Álava,1997,1013.65,4
01,Araba/Álava,1998,1151.875,4
01,Araba/Álava,1999,1392.325,4
01,Araba/Álava,2000,1475.25,4
01,Araba/Álava,2001,1653.375,4
01,Araba/Álava,2002,1833.9,4
01,Araba/Álava,2003,1978.55,4
01,Araba/Álava,2004,2210.2,4
01,Araba/Álava,2005,2387.925,4
01,Araba/Álava,2006,2517.3,4
01,Araba/Álava,2007,2516.675,4
01,Araba/Álava,2008,2467.575,4
01,Araba/Álava,2009,2305.9,4
01,Araba/Álava,2010,2259.275,4
01,Araba/Álava,2011,2201.95,4
01,Araba/Álava,2012,2202.75,4
01,Araba/Álava,2013,2083.35,4
01,Araba/Álava,2014,1992.95,4
01,Araba/Álava,2015,1976.25,4
01,Araba/Álava,2016,1903.35,4
01,Araba/Álava,2017,1921.8249999999998,4
01,Araba/Álava,2018,1914.275,4
01,Araba/Álava,2019,1959.55,4
01,Araba/Álava,2020,1946.1,4
01,Araba/Álava,2021,2009.8,4
01,Araba/Álava,2022,2028.9,4
01,Araba/Álava,2023,2087.375,4
01,Araba/Álava,2024,2133.075,4
01,Araba/Álava,2025,2336.175,4
02,Albacete,1995,438.95,4
02,Albacete,1996,446.025,4
02,Albacete,1997,464.575,4
02,Albacete,1998,487.725,4
02,Albacete,1999,530.05,4
02,Albacete,2000,563.6,4
02,Albacete,2001,636.175,4
02,Albacete,2002,728.675,4
02,Albacete,2003,792.75,4
02,Albacete,2004,905.15,4
02,Albacete,2005,1160.175,4
02,Albacete,2006,1265.975,4
02,Albacete,2007,1343.2,4
02,Albacete,2008,1333.2,4
02,Albacete,2009,1179.175,4
02,Albacete,2010,1225.35,4
02,Albacete,2011,1177.675,4
02,Albacete,2012,1093.25,4
02,Albacete,2013,984.1,4
02,Albacete,2014,934.625,4
02,Albacete,2015,958.95,4
02,Albacete,2016,940.125,4
02,Albacete,2017,926.375,4
02,Albacete,2018,915.3,4
02,Albacete,2019,927.025,4
02,Albacete,2020,899.575,4
02,Albacete,2021,909.775,4
02,Albacete,2022,930.8,4
02,Albacete,2023,967.6999999999999,4
02,Albacete,2024,1011.05,4
02,Albacete,2025,1102.1750000000002,4
03,Alacant/Alicante,1995,475.875,4
03,Alacant/Alicante,1996,492.29999999999995,4
03,Alacant/Alicante,1997,512.125,4
03,Alacant/Alicante,1998,565.175,4
03,Alacant/Alicante,1999,642.925,4
03,Alacant/Alicante,2000,742.775,4
