territorio_mivau,territorio_key,anio,trimestre,precio_vivienda_libre_eur_m2,hoja
TOTAL NACIONAL,total nacional,1995,1,670.8,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1995,2,686,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1995,3,682.6,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1995,4,692.7,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1996,1,686,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1996,2,697.8,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1996,3,691,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1996,4,694.4,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1997,1,691,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1997,2,726.4,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1997,3,726.4,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1997,4,702.8,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1998,1,716.3,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1998,2,761.8,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1998,3,777,"1995, 1996, 1997, 1998"
TOTAL NACIONAL,total nacional,1998,4,756.7,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1995,1,513.4,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1995,2,514.7,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1995,3,495.3,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1995,4,514.7,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1996,1,507.8,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1996,2,503.6,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1996,3,505,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1996,4,513.4,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1997,1,509.2,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1997,2,516.1,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1997,3,510.6,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1997,4,516.1,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1998,1,527.3,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1998,2,537,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1998,3,548.1,"1995, 1996, 1997, 1998"
Andalucía,andalucia,1998,4,552.3,"1995, 1996, 1997, 1998"
Almería,almeria,1995,1,419.8,"1995, 1996, 1997, 1998"
Almería,almeria,1995,2,421.1,"1995, 1996, 1997, 1998"
Almería,almeria,1995,3,447.8,"1995, 1996, 1997, 1998"
Almería,almeria,1995,4,446.5,"1995, 1996, 1997, 1998"
Almería,almeria,1996,1,460.5,"1995, 1996, 1997, 1998"
Almería,almeria,1996,2,466.9,"1995, 1996, 1997, 1998"
Almería,almeria,1996,3,445.2,"1995, 1996, 1997, 1998"
Almería,almeria,1996,4,469.4,"1995, 1996, 1997, 1998"
Almería,almeria,1997,1,478.3,"1995, 1996, 1997, 1998"
Almería,almeria,1997,2,473.2,"1995, 1996, 1997, 1998"
Almería,almeria,1997,3,499.9,"1995, 1996, 1997, 1998"
Almería,almeria,1997,4,498.7,"1995, 1996, 1997, 1998"
Almería,almeria,1998,1,505,"1995, 1996, 1997, 1998"
Almería,almeria,1998,2,524.1,"1995, 1996, 1997, 1998"
Almería,almeria,1998,3,538.1,"1995, 1996, 1997, 1998"
Almería,almeria,1998,4,529.2,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1995,1,500.6,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1995,2,499.1,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1995,3,506.4,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1995,4,507.8,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1996,1,503.5,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1996,2,502,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1996,3,510.7,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1996,4,504.9,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1997,1,513.6,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1997,2,520.8,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1997,3,515.1,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1997,4,512.2,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1998,1,533.9,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1998,2,545.4,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1998,3,559.9,"1995, 1996, 1997, 1998"
Cádiz,cadiz,1998,4,555.6,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1995,1,491.5,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1995,2,531.1,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1995,3,516,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1995,4,502,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1996,1,498.5,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1996,2,467.1,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1996,3,484.6,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1996,4,478.7,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1997,1,475.2,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1997,2,476.4,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1997,3,490.4,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1997,4,484.6,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1998,1,470.6,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1998,2,485.7,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1998,3,503.2,"1995, 1996, 1997, 1998"
Córdoba,cordoba,1998,4,504.4,"1995, 1996, 1997, 1998"
Granada,granada,1995,1,494.8,"1995, 1996, 1997, 1998"
Granada,granada,1995,2,475.3,"1995, 1996, 1997, 1998"
Granada,granada,1995,3,473,"1995, 1996, 1997, 1998"
Granada,granada,1995,4,471.9,"1995, 1996, 1997, 1998"
Granada,granada,1996,1,473,"1995, 1996, 1997, 1998"
Granada,granada,1996,2,471.9,"1995, 1996, 1997, 1998"
Granada,granada,1996,3,490.2,"1995, 1996, 1997, 1998"
Granada,granada,1996,4,490.2,"1995, 1996, 1997, 1998"
Granada,granada,1997,1,501.7,"1995, 1996, 1997, 1998"
Granada,granada,1997,2,520.1,"1995, 1996, 1997, 1998"
Granada,granada,1997,3,490.2,"1995, 1996, 1997, 1998"
Granada,granada,1997,4,506.3,"1995, 1996, 1997, 1998"
Granada,granada,1998,1,510.9,"1995, 1996, 1997, 1998"
Granada,granada,1998,2,527,"1995, 1996, 1997, 1998"
Granada,granada,1998,3,522.4,"1995, 1996, 1997, 1998"
Granada,granada,1998,4,531.6,"1995, 1996, 1997, 1998"
Huelva,huelva,1995,1,504.8,"1995, 1996, 1997, 1998"
Huelva,huelva,1995,2,506,"1995, 1996, 1997, 1998"
Huelva,huelva,1995,3,506,"1995, 1996, 1997, 1998"
Huelva,huelva,1995,4,526.5,"1995, 1996, 1997, 1998"
Huelva,huelva,1996,1,515,"1995, 1996, 1997, 1998"
Huelva,huelva,1996,2,518.8,"1995, 1996, 1997, 1998"
Huelva,huelva,1996,3,518.8,"1995, 1996, 1997, 1998"
Huelva,huelva,1996,4,507.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,1,503.5,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,2,516.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,3,517.6,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,4,524,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,1,534.2,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,2,547,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,3,548.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,4,556,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,1,375.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,2,380.6,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,3,388.6,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,4,387.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1996,1,381.4,"1995, 1996, 1997, 1998"
