Provincias;Tasas;Sexo;Periodo;Total
Total Nacional;Tasa de actividad;Ambos sexos;2026T1;58,86
Total Nacional;Tasa de actividad;Ambos sexos;2025T4;58,94
Total Nacional;Tasa de actividad;Ambos sexos;2025T3;59,30
Total Nacional;Tasa de actividad;Ambos sexos;2025T2;59,03
Total Nacional;Tasa de actividad;Ambos sexos;2025T1;58,57
Total Nacional;Tasa de actividad;Ambos sexos;2024T4;58,49
Total Nacional;Tasa de actividad;Ambos sexos;2024T3;59,04
Total Nacional;Tasa de actividad;Ambos sexos;2024T2;58,90
Total Nacional;Tasa de actividad;Ambos sexos;2024T1;58,63
Total Nacional;Tasa de actividad;Ambos sexos;2023T4;58,83
Total Nacional;Tasa de actividad;Ambos sexos;2023T3;59,29
Total Nacional;Tasa de actividad;Ambos sexos;2023T2;58,85
Total Nacional;Tasa de actividad;Ambos sexos;2023T1;58,44
Total Nacional;Tasa de actividad;Ambos sexos;2022T4;58,40
Total Nacional;Tasa de actividad;Ambos sexos;2022T3;58,76
Total Nacional;Tasa de actividad;Ambos sexos;2022T2;58,60
Total Nacional;Tasa de actividad;Ambos sexos;2022T1;58,36
Total Nacional;Tasa de actividad;Ambos sexos;2021T4;58,53
Total Nacional;Tasa de actividad;Ambos sexos;2021T3;59,01
Total Nacional;Tasa de actividad;Ambos sexos;2021T2;58,42
Total Nacional;Tasa de actividad;Ambos sexos;2021T1;57,56
Total Nacional;Tasa de actividad;Ambos sexos;2020T4;58,19
Total Nacional;Tasa de actividad;Ambos sexos;2020T3;57,83
Total Nacional;Tasa de actividad;Ambos sexos;2020T2;55,54
Total Nacional;Tasa de actividad;Ambos sexos;2020T1;58,18
Total Nacional;Tasa de actividad;Ambos sexos;2019T4;58,74
Total Nacional;Tasa de actividad;Ambos sexos;2019T3;58,72
Total Nacional;Tasa de actividad;Ambos sexos;2019T2;58,74
Total Nacional;Tasa de actividad;Ambos sexos;2019T1;58,35
Total Nacional;Tasa de actividad;Ambos sexos;2018T4;58,61
Total Nacional;Tasa de actividad;Ambos sexos;2018T3;58,73
Total Nacional;Tasa de actividad;Ambos sexos;2018T2;58,80
Total Nacional;Tasa de actividad;Ambos sexos;2018T1;58,46
Total Nacional;Tasa de actividad;Ambos sexos;2017T4;58,80
Total Nacional;Tasa de actividad;Ambos sexos;2017T3;58,92
Total Nacional;Tasa de actividad;Ambos sexos;2017T2;58,84
Total Nacional;Tasa de actividad;Ambos sexos;2017T1;58,78
Total Nacional;Tasa de actividad;Ambos sexos;2016T4;58,95
Total Nacional;Tasa de actividad;Ambos sexos;2016T3;59,28
Total Nacional;Tasa de actividad;Ambos sexos;2016T2;59,41
Total Nacional;Tasa de actividad;Ambos sexos;2016T1;59,29
Total Nacional;Tasa de actividad;Ambos sexos;2015T4;59,43
Total Nacional;Tasa de actividad;Ambos sexos;2015T3;59,50
