Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;;General;2025;14.962
Total;;General;2024;12.717
Total;;General;2023;13.151
Total;;General;2022;17.132
Total;;General;2021;20.694
Total;;General;2020;18.920
Total;;General;2019;27.488
Total;;General;2018;26.247
Total;;General;2017;27.719
Total;;General;2016;41.288
Total;;General;2015;60.032
Total;;General;2014;70.422
Total;;Vivienda nueva;2025;1.137
Total;;Vivienda nueva;2024;1.228
Total;;Vivienda nueva;2023;1.206
Total;;Vivienda nueva;2022;2.103
Total;;Vivienda nueva;2021;2.475
Total;;Vivienda nueva;2020;3.105
Total;;Vivienda nueva;2019;6.431
Total;;Vivienda nueva;2018;5.315
Total;;Vivienda nueva;2017;4.750
Total;;Vivienda nueva;2016;5.344
Total;;Vivienda nueva;2015;8.056
Total;;Vivienda nueva;2014;11.312
Total;;Vivienda segunda mano;2025;13.825
Total;;Vivienda segunda mano;2024;11.489
Total;;Vivienda segunda mano;2023;11.945
Total;;Vivienda segunda mano;2022;15.029
Total;;Vivienda segunda mano;2021;18.219
Total;;Vivienda segunda mano;2020;15.815
Total;;Vivienda segunda mano;2019;21.057
Total;;Vivienda segunda mano;2018;20.932
Total;;Vivienda segunda mano;2017;22.969
Total;;Vivienda segunda mano;2016;35.944
Total;;Vivienda segunda mano;2015;51.976
Total;;Vivienda segunda mano;2014;59.110
Total;02 Albacete;General;2025;80
Total;02 Albacete;General;2024;56
Total;02 Albacete;General;2023;97
Total;02 Albacete;General;2022;97
Total;02 Albacete;General;2021;302
Total;02 Albacete;General;2020;146
Total;02 Albacete;General;2019;152
Total;02 Albacete;General;2018;90
Total;02 Albacete;General;2017;117
Total;02 Albacete;General;2016;148
Total;02 Albacete;General;2015;262
Total;02 Albacete;General;2014;314
Total;02 Albacete;Vivienda nueva;2025;3
Total;02 Albacete;Vivienda nueva;2024;9
Total;02 Albacete;Vivienda nueva;2023;20
Total;02 Albacete;Vivienda nueva;2022;5
Total;02 Albacete;Vivienda nueva;2021;37
Total;02 Albacete;Vivienda nueva;2020;22
Total;02 Albacete;Vivienda nueva;2019;27
Total;02 Albacete;Vivienda nueva;2018;21
Total;02 Albacete;Vivienda nueva;2017;32
Total;02 Albacete;Vivienda nueva;2016;19
