Provincias;Naturaleza de la finca;Número e importe;Periodo;Total
Total Nacional;Viviendas;Número de hipotecas;2026M02;45.563
Total Nacional;Viviendas;Número de hipotecas;2026M01;39.330
Total Nacional;Viviendas;Número de hipotecas;2025M12;37.841
Total Nacional;Viviendas;Número de hipotecas;2025M11;43.319
Total Nacional;Viviendas;Número de hipotecas;2025M10;52.198
Total Nacional;Viviendas;Número de hipotecas;2025M09;46.120
Total Nacional;Viviendas;Número de hipotecas;2025M08;33.271
Total Nacional;Viviendas;Número de hipotecas;2025M07;45.067
Total Nacional;Viviendas;Número de hipotecas;2025M06;41.834
Total Nacional;Viviendas;Número de hipotecas;2025M05;42.274
Total Nacional;Viviendas;Número de hipotecas;2025M04;39.176
Total Nacional;Viviendas;Número de hipotecas;2025M03;42.831
Total Nacional;Viviendas;Número de hipotecas;2025M02;39.192
Total Nacional;Viviendas;Número de hipotecas;2025M01;37.890
Total Nacional;Viviendas;Número de hipotecas;2024M12;32.233
Total Nacional;Viviendas;Número de hipotecas;2024M11;38.529
Total Nacional;Viviendas;Número de hipotecas;2024M10;51.897
Total Nacional;Viviendas;Número de hipotecas;2024M09;41.089
Total Nacional;Viviendas;Número de hipotecas;2024M08;30.946
Total Nacional;Viviendas;Número de hipotecas;2024M07;36.047
Total Nacional;Viviendas;Número de hipotecas;2024M06;31.773
Total Nacional;Viviendas;Número de hipotecas;2024M05;27.376
Total Nacional;Viviendas;Número de hipotecas;2024M04;34.248
Total Nacional;Viviendas;Número de hipotecas;2024M03;29.641
Total Nacional;Viviendas;Número de hipotecas;2024M02;37.467
Total Nacional;Viviendas;Número de hipotecas;2024M01;34.276
Total Nacional;Viviendas;Número de hipotecas;2023M12;24.807
Total Nacional;Viviendas;Número de hipotecas;2023M11;33.009
Total Nacional;Viviendas;Número de hipotecas;2023M10;32.057
Total Nacional;Viviendas;Número de hipotecas;2023M09;30.837
Total Nacional;Viviendas;Número de hipotecas;2023M08;28.190
Total Nacional;Viviendas;Número de hipotecas;2023M07;29.351
Total Nacional;Viviendas;Número de hipotecas;2023M06;33.374
Total Nacional;Viviendas;Número de hipotecas;2023M05;33.558
Total Nacional;Viviendas;Número de hipotecas;2023M04;26.763
Total Nacional;Viviendas;Número de hipotecas;2023M03;36.200
Total Nacional;Viviendas;Número de hipotecas;2023M02;35.881
Total Nacional;Viviendas;Número de hipotecas;2023M01;36.939
Total Nacional;Viviendas;Número de hipotecas;2022M12;30.042
Total Nacional;Viviendas;Número de hipotecas;2022M11;40.335
Total Nacional;Viviendas;Número de hipotecas;2022M10;41.077
Total Nacional;Viviendas;Número de hipotecas;2022M09;44.134
Total Nacional;Viviendas;Número de hipotecas;2022M08;36.646
Total Nacional;Viviendas;Número de hipotecas;2022M07;36.000
Total Nacional;Viviendas;Número de hipotecas;2022M06;42.877
Total Nacional;Viviendas;Número de hipotecas;2022M05;43.931
Total Nacional;Viviendas;Número de hipotecas;2022M04;33.103
Total Nacional;Viviendas;Número de hipotecas;2022M03;42.940
Total Nacional;Viviendas;Número de hipotecas;2022M02;36.634
Total Nacional;Viviendas;Número de hipotecas;2022M01;36.388
Total Nacional;Viviendas;Número de hipotecas;2021M12;32.984
Total Nacional;Viviendas;Número de hipotecas;2021M11;35.970
Total Nacional;Viviendas;Número de hipotecas;2021M10;36.147
Total Nacional;Viviendas;Número de hipotecas;2021M09;42.408
Total Nacional;Viviendas;Número de hipotecas;2021M08;33.243
Total Nacional;Viviendas;Número de hipotecas;2021M07;35.123
Total Nacional;Viviendas;Número de hipotecas;2021M06;38.180
Total Nacional;Viviendas;Número de hipotecas;2021M05;35.418
Total Nacional;Viviendas;Número de hipotecas;2021M04;31.976
Total Nacional;Viviendas;Número de hipotecas;2021M03;36.770
Total Nacional;Viviendas;Número de hipotecas;2021M02;31.870
Total Nacional;Viviendas;Número de hipotecas;2021M01;27.969
Total Nacional;Viviendas;Número de hipotecas;2020M12;26.688
Total Nacional;Viviendas;Número de hipotecas;2020M11;29.185
Total Nacional;Viviendas;Número de hipotecas;2020M10;28.351
Total Nacional;Viviendas;Número de hipotecas;2020M09;26.975
Total Nacional;Viviendas;Número de hipotecas;2020M08;19.838
Total Nacional;Viviendas;Número de hipotecas;2020M07;25.821
Total Nacional;Viviendas;Número de hipotecas;2020M06;26.890
Total Nacional;Viviendas;Número de hipotecas;2020M05;25.630
Total Nacional;Viviendas;Número de hipotecas;2020M04;24.155
Total Nacional;Viviendas;Número de hipotecas;2020M03;27.300
Total Nacional;Viviendas;Número de hipotecas;2020M02;36.702
Total Nacional;Viviendas;Número de hipotecas;2020M01;40.217
Total Nacional;Viviendas;Número de hipotecas;2019M12;30.661
Total Nacional;Viviendas;Número de hipotecas;2019M11;29.464
Total Nacional;Viviendas;Número de hipotecas;2019M10;30.028
Total Nacional;Viviendas;Número de hipotecas;2019M09;22.696
Total Nacional;Viviendas;Número de hipotecas;2019M08;20.526
Total Nacional;Viviendas;Número de hipotecas;2019M07;33.765
Total Nacional;Viviendas;Número de hipotecas;2019M06;30.642
Total Nacional;Viviendas;Número de hipotecas;2019M05;35.280
Total Nacional;Viviendas;Número de hipotecas;2019M04;29.219
Total Nacional;Viviendas;Número de hipotecas;2019M03;30.908
Total Nacional;Viviendas;Número de hipotecas;2019M02;31.054
Total Nacional;Viviendas;Número de hipotecas;2019M01;37.048
Total Nacional;Viviendas;Número de hipotecas;2018M12;21.177
Total Nacional;Viviendas;Número de hipotecas;2018M11;29.283
Total Nacional;Viviendas;Número de hipotecas;2018M10;30.339
Total Nacional;Viviendas;Número de hipotecas;2018M09;32.870
Total Nacional;Viviendas;Número de hipotecas;2018M08;29.090
Total Nacional;Viviendas;Número de hipotecas;2018M07;29.480
Total Nacional;Viviendas;Número de hipotecas;2018M06;30.671
Total Nacional;Viviendas;Número de hipotecas;2018M05;31.366
Total Nacional;Viviendas;Número de hipotecas;2018M04;29.050
Total Nacional;Viviendas;Número de hipotecas;2018M03;26.527
Total Nacional;Viviendas;Número de hipotecas;2018M02;28.400
Total Nacional;Viviendas;Número de hipotecas;2018M01;30.073
Total Nacional;Viviendas;Número de hipotecas;2017M12;20.749
Total Nacional;Viviendas;Número de hipotecas;2017M11;25.257
Total Nacional;Viviendas;Número de hipotecas;2017M10;25.217
Total Nacional;Viviendas;Número de hipotecas;2017M09;29.638
Total Nacional;Viviendas;Número de hipotecas;2017M08;26.924
Total Nacional;Viviendas;Número de hipotecas;2017M07;25.545
Total Nacional;Viviendas;Número de hipotecas;2017M06;29.439
Total Nacional;Viviendas;Número de hipotecas;2017M05;29.041
Total Nacional;Viviendas;Número de hipotecas;2017M04;21.400
Total Nacional;Viviendas;Número de hipotecas;2017M03;27.805
Total Nacional;Viviendas;Número de hipotecas;2017M02;24.549
Total Nacional;Viviendas;Número de hipotecas;2017M01;27.279
Total Nacional;Viviendas;Número de hipotecas;2016M12;20.682
Total Nacional;Viviendas;Número de hipotecas;2016M11;25.826
Total Nacional;Viviendas;Número de hipotecas;2016M10;22.828
Total Nacional;Viviendas;Número de hipotecas;2016M09;26.915
Total Nacional;Viviendas;Número de hipotecas;2016M08;20.593
Total Nacional;Viviendas;Número de hipotecas;2016M07;18.707
Total Nacional;Viviendas;Número de hipotecas;2016M06;25.342
Total Nacional;Viviendas;Número de hipotecas;2016M05;26.558
Total Nacional;Viviendas;Número de hipotecas;2016M04;23.873
Total Nacional;Viviendas;Número de hipotecas;2016M03;23.065
Total Nacional;Viviendas;Número de hipotecas;2016M02;25.023
Total Nacional;Viviendas;Número de hipotecas;2016M01;23.295
Total Nacional;Viviendas;Número de hipotecas;2015M12;19.404
Total Nacional;Viviendas;Número de hipotecas;2015M11;19.224
Total Nacional;Viviendas;Número de hipotecas;2015M10;19.326
Total Nacional;Viviendas;Número de hipotecas;2015M09;24.237
Total Nacional;Viviendas;Número de hipotecas;2015M08;19.375
Total Nacional;Viviendas;Número de hipotecas;2015M07;21.978
Total Nacional;Viviendas;Número de hipotecas;2015M06;21.887
Total Nacional;Viviendas;Número de hipotecas;2015M05;19.815
Total Nacional;Viviendas;Número de hipotecas;2015M04;18.949
Total Nacional;Viviendas;Número de hipotecas;2015M03;20.068
Total Nacional;Viviendas;Número de hipotecas;2015M02;21.464
Total Nacional;Viviendas;Número de hipotecas;2015M01;21.040
Total Nacional;Viviendas;Número de hipotecas;2014M12;15.995
Total Nacional;Viviendas;Número de hipotecas;2014M11;16.540
Total Nacional;Viviendas;Número de hipotecas;2014M10;17.919
Total Nacional;Viviendas;Número de hipotecas;2014M09;19.820
Total Nacional;Viviendas;Número de hipotecas;2014M08;15.321
Total Nacional;Viviendas;Número de hipotecas;2014M07;17.949
Total Nacional;Viviendas;Número de hipotecas;2014M06;16.987
Total Nacional;Viviendas;Número de hipotecas;2014M05;17.790
Total Nacional;Viviendas;Número de hipotecas;2014M04;15.528
Total Nacional;Viviendas;Número de hipotecas;2014M03;16.545
Total Nacional;Viviendas;Número de hipotecas;2014M02;16.479
Total Nacional;Viviendas;Número de hipotecas;2014M01;17.429
Total Nacional;Viviendas;Número de hipotecas;2013M12;12.382
Total Nacional;Viviendas;Número de hipotecas;2013M11;13.926
Total Nacional;Viviendas;Número de hipotecas;2013M10;14.984
Total Nacional;Viviendas;Número de hipotecas;2013M09;14.888
Total Nacional;Viviendas;Número de hipotecas;2013M08;12.146
Total Nacional;Viviendas;Número de hipotecas;2013M07;14.055
Total Nacional;Viviendas;Número de hipotecas;2013M06;14.402
Total Nacional;Viviendas;Número de hipotecas;2013M05;18.604
Total Nacional;Viviendas;Número de hipotecas;2013M04;17.698
Total Nacional;Viviendas;Número de hipotecas;2013M03;16.301
Total Nacional;Viviendas;Número de hipotecas;2013M02;24.494
Total Nacional;Viviendas;Número de hipotecas;2013M01;25.823
Total Nacional;Viviendas;Número de hipotecas;2012M12;17.648
Total Nacional;Viviendas;Número de hipotecas;2012M11;19.183
Total Nacional;Viviendas;Número de hipotecas;2012M10;19.150
Total Nacional;Viviendas;Número de hipotecas;2012M09;21.500
Total Nacional;Viviendas;Número de hipotecas;2012M08;20.853
Total Nacional;Viviendas;Número de hipotecas;2012M07;24.035
Total Nacional;Viviendas;Número de hipotecas;2012M06;24.308
Total Nacional;Viviendas;Número de hipotecas;2012M05;25.946
Total Nacional;Viviendas;Número de hipotecas;2012M04;21.367
Total Nacional;Viviendas;Número de hipotecas;2012M03;24.679
Total Nacional;Viviendas;Número de hipotecas;2012M02;26.169
Total Nacional;Viviendas;Número de hipotecas;2012M01;29.035
Total Nacional;Viviendas;Número de hipotecas;2011M12;24.330
Total Nacional;Viviendas;Número de hipotecas;2011M11;27.938
Total Nacional;Viviendas;Número de hipotecas;2011M10;22.317
Total Nacional;Viviendas;Número de hipotecas;2011M09;31.284
Total Nacional;Viviendas;Número de hipotecas;2011M08;29.502
Total Nacional;Viviendas;Número de hipotecas;2011M07;29.458
Total Nacional;Viviendas;Número de hipotecas;2011M06;32.533
Total Nacional;Viviendas;Número de hipotecas;2011M05;37.440
Total Nacional;Viviendas;Número de hipotecas;2011M04;31.275
Total Nacional;Viviendas;Número de hipotecas;2011M03;42.982
Total Nacional;Viviendas;Número de hipotecas;2011M02;49.892
Total Nacional;Viviendas;Número de hipotecas;2011M01;49.510
Total Nacional;Viviendas;Número de hipotecas;2010M12;39.205
Total Nacional;Viviendas;Número de hipotecas;2010M11;43.797
Total Nacional;Viviendas;Número de hipotecas;2010M10;39.326
Total Nacional;Viviendas;Número de hipotecas;2010M09;53.127
Total Nacional;Viviendas;Número de hipotecas;2010M08;50.142
Total Nacional;Viviendas;Número de hipotecas;2010M07;55.709
Total Nacional;Viviendas;Número de hipotecas;2010M06;56.734
Total Nacional;Viviendas;Número de hipotecas;2010M05;55.489
Total Nacional;Viviendas;Número de hipotecas;2010M04;50.779
Total Nacional;Viviendas;Número de hipotecas;2010M03;54.135
Total Nacional;Viviendas;Número de hipotecas;2010M02;55.194
Total Nacional;Viviendas;Número de hipotecas;2010M01;53.898
Total Nacional;Viviendas;Número de hipotecas;2009M12;47.438
Total Nacional;Viviendas;Número de hipotecas;2009M11;51.769
Total Nacional;Viviendas;Número de hipotecas;2009M10;52.250
Total Nacional;Viviendas;Número de hipotecas;2009M09;62.971
Total Nacional;Viviendas;Número de hipotecas;2009M08;51.970
Total Nacional;Viviendas;Número de hipotecas;2009M07;59.605
Total Nacional;Viviendas;Número de hipotecas;2009M06;61.832
Total Nacional;Viviendas;Número de hipotecas;2009M05;57.438
Total Nacional;Viviendas;Número de hipotecas;2009M04;50.266
Total Nacional;Viviendas;Número de hipotecas;2009M03;52.268
Total Nacional;Viviendas;Número de hipotecas;2009M02;50.535
Total Nacional;Viviendas;Número de hipotecas;2009M01;52.547
Total Nacional;Viviendas;Número de hipotecas;2008M12;48.490
Total Nacional;Viviendas;Número de hipotecas;2008M11;51.104
Total Nacional;Viviendas;Número de hipotecas;2008M10;63.949
Total Nacional;Viviendas;Número de hipotecas;2008M09;66.239
Total Nacional;Viviendas;Número de hipotecas;2008M08;56.020
Total Nacional;Viviendas;Número de hipotecas;2008M07;72.813
Total Nacional;Viviendas;Número de hipotecas;2008M06;68.475
Total Nacional;Viviendas;Número de hipotecas;2008M05;77.157
Total Nacional;Viviendas;Número de hipotecas;2008M04;86.127
Total Nacional;Viviendas;Número de hipotecas;2008M03;70.210
Total Nacional;Viviendas;Número de hipotecas;2008M02;81.997
Total Nacional;Viviendas;Número de hipotecas;2008M01;93.838
Total Nacional;Viviendas;Número de hipotecas;2007M12;71.794
Total Nacional;Viviendas;Número de hipotecas;2007M11;93.262
Total Nacional;Viviendas;Número de hipotecas;2007M10;97.586
