Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;;;;Renta neta media por persona;2023;15.036
Total Nacional;;;;Renta neta media por persona;2022;14.061
Total Nacional;;;;Renta neta media por persona;2021;13.268
Total Nacional;;;;Renta neta media por persona;2020;""
Total Nacional;;;;Renta neta media por persona;2019;""
Total Nacional;;;;Renta neta media por persona;2018;""
Total Nacional;;;;Renta neta media por persona;2017;""
Total Nacional;;;;Renta neta media por persona;2016;""
Total Nacional;;;;Renta neta media por persona;2015;""
Total Nacional;;;;Renta neta media por hogar;2023;38.326
Total Nacional;;;;Renta neta media por hogar;2022;35.815
Total Nacional;;;;Renta neta media por hogar;2021;33.881
Total Nacional;;;;Renta neta media por hogar;2020;""
Total Nacional;;;;Renta neta media por hogar;2019;""
Total Nacional;;;;Renta neta media por hogar;2018;""
Total Nacional;;;;Renta neta media por hogar;2017;""
Total Nacional;;;;Renta neta media por hogar;2016;""
Total Nacional;;;;Renta neta media por hogar;2015;""
Total Nacional;;;;Media de la renta por unidad de consumo;2023;22.318
Total Nacional;;;;Media de la renta por unidad de consumo;2022;21.111
Total Nacional;;;;Media de la renta por unidad de consumo;2021;19.948
Total Nacional;;;;Media de la renta por unidad de consumo;2020;""
Total Nacional;;;;Media de la renta por unidad de consumo;2019;""
Total Nacional;;;;Media de la renta por unidad de consumo;2018;""
Total Nacional;;;;Media de la renta por unidad de consumo;2017;""
Total Nacional;;;;Media de la renta por unidad de consumo;2016;""
Total Nacional;;;;Media de la renta por unidad de consumo;2015;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2023;19.250
Total Nacional;;;;Mediana de la renta por unidad de consumo;2022;17.850
Total Nacional;;;;Mediana de la renta por unidad de consumo;2021;17.150
Total Nacional;;;;Mediana de la renta por unidad de consumo;2020;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2019;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2018;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2017;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2016;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2015;""
Total Nacional;;;;Renta bruta media por persona;2023;18.457
Total Nacional;;;;Renta bruta media por persona;2022;17.207
Total Nacional;;;;Renta bruta media por persona;2021;16.159
Total Nacional;;;;Renta bruta media por persona;2020;""
Total Nacional;;;;Renta bruta media por persona;2019;""
Total Nacional;;;;Renta bruta media por persona;2018;""
Total Nacional;;;;Renta bruta media por persona;2017;""
Total Nacional;;;;Renta bruta media por persona;2016;""
Total Nacional;;;;Renta bruta media por persona;2015;""
Total Nacional;;;;Renta bruta media por hogar;2023;47.046
Total Nacional;;;;Renta bruta media por hogar;2022;43.827
Total Nacional;;;;Renta bruta media por hogar;2021;41.264
Total Nacional;;;;Renta bruta media por hogar;2020;""
Total Nacional;;;;Renta bruta media por hogar;2019;""
Total Nacional;;;;Renta bruta media por hogar;2018;""
Total Nacional;;;;Renta bruta media por hogar;2017;""
Total Nacional;;;;Renta bruta media por hogar;2016;""
Total Nacional;;;;Renta bruta media por hogar;2015;""
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2023;11.543
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2022;10.605
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2021;10.103
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2020;9.709
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2019;9.436
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2018;9.072
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2017;8.569
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2016;8.207
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2015;8.029
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2023;30.936
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2022;28.442
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2021;27.184
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2020;26.276
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2019;25.698
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2018;24.714
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2017;23.399
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2016;22.666
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2015;22.039
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2023;17.369
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2022;16.171
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2021;15.412
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2020;14.850
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2019;14.480
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2018;13.926
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2017;13.184
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2016;12.637
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2015;12.323
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2023;15.050
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2022;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2021;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2019;12.250
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2017;11.550
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2016;10.850
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2015;10.150
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2023;13.683
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2022;12.532
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2021;11.877
